,H2,O2,H2O
HF/cc-pVTZ,              -1.119238,            -149.671853,             -76.030972,
B3LYP/cc-pVTZ,              -1.166628,            -150.373927,             -76.434768,
CCSD/cc-pVTZ,              -1.158989,            -150.104157,             -76.299046,
G3,               -1.164078 ,             -150.244906 ,              -76.378265 ,
HF/aug-cc-pVTZ,              -1.119309,            -149.674700,             -76.034448,
B3LYP/aug-cc-pVTZ,              -1.166658,            -150.377601,             -76.441170,
CCSD/aug-cc-pVTZ,              -1.159307,            -150.114951,             -76.308302,
G3,               -1.164078 ,             -150.244906 ,              -76.378265 ,
HF/6-311++G(d_p),              -1.118739,            -149.656317,             -76.026610,
B3LYP/6-311++G(d_p),              -1.166205,            -150.363387,             -76.433462,
CCSD/6-311++G(d_p),              -1.155003,            -150.024461,             -76.255728,
G3,               -1.164078 ,             -150.244906 ,              -76.378265 ,
HF/6-311++G(3df_2pd),              -1.119277,            -149.669178,             -76.032273,
B3LYP/6-311++G(3df_2pd),              -1.166647,            -150.372432,             -76.439046,
CCSD/6-311++G(3df_2pd),              -1.159011,            -150.103038,             -76.302721,
G3,               -1.164078 ,             -150.244906 ,              -76.378265 ,
