6-31G(d,p),
,CIS,TD B3LYP,TD HSEH1PBE,TD APFD,TD CAM-B3LYP,TD wB97XD
Li,639.08,586.32,597.08,600.25,596.8,653.11
Na,622.24,548.19,583.18,584.8,552.54,645.28
K,890.42,745.65,809.36,831.06,759.56,853.28
Rb,NaN,NaN,NaN,NaN,NaN,NaN
Cu,11293.58,11345.55,10453.39,10536.32,-5618.56,-3133.74
B,8148.65,84271.81,93072.51,84598.18,106403.53,-46126.5
P,1252.4,66100.28,53790.99,53956.98,70723.55,88145.8
Ca,406.96,395.69,401.13,403.9,396.73,398.91
Sr,NaN,NaN,NaN,NaN,NaN,NaN
6-311G(d,p),
,CIS,TD B3LYP,TD HSEH1PBE,TD APFD,TD CAM-B3LYP,TD wB97XD
Li,671.58,623.34,632.83,633.1,634.88,654.23
Na,628.1,554.82,588.47,591.47,555.41,NaN
K,902.41,754.86,821.3,844.27,771.8,880.51
Rb,NaN,NaN,NaN,NaN,NaN,NaN
Cu,6239.93,29244.22,113049.57,-5599.01,-963.25,965.82
B,6578.86,93744.35,NaN,113745.86,NaN,-47014.44
P,1269.66,45595.42,37226.05,37761.41,47594.31,49018.87
Ca,422.04,431.15,420.26,423.4,418.14,438.34
Sr,NaN,NaN,NaN,NaN,NaN,NaN
6-311G(3df,2pd),
,CIS,TD B3LYP,TD HSEH1PBE,TD APFD,TD CAM-B3LYP,TD wB97XD
Li,671.58,623.34,632.83,633.1,634.88,654.23
Na,628.1,554.82,588.47,591.47,555.41,639.41
K,903.68,755.41,822.25,845.17,772.53,882.03
Rb,NaN,NaN,NaN,NaN,NaN,NaN
Cu,3727.71,NaN,36070.5,-5559.26,-961.79,968.16
B,5346.31,47502.49,49494.21,47668.94,62782.27,-74571.34
P,1044.87,35087.02,28125.47,28753.86,37208.93,40341.03
Ca,422.77,572.89,562.5,566.73,547.46,575.07
Sr,NaN,NaN,NaN,NaN,NaN,NaN
Lanl2DZ,
,CIS,TD B3LYP,TD HSEH1PBE,TD APFD,TD CAM-B3LYP,TD wB97XD
Li,677.07,625.41,623.62,627.02,639.23,717.79
Na,635.6,605.84,603.86,603.89,618.38,568.07
K,892.74,743.92,809.87,822.68,761.68,867.7
Rb,910.76,741.85,793.43,823.19,756.08,812.96
Cu,396.78,894.81,639.31,681.01,891.93,554.92
B,-1.56757801637447e12,NaN,NaN,-480938.96,410599.03,-70325.14
P,1895.72,250414.73,-267787.55,373331.92,331908.7,NaN
Ca,401.0,379.4,391.54,396.09,381.33,378.07
Sr,438.28,405.99,419.86,425.1,407.79,402.5
SDD,
,CIS,TD B3LYP,TD HSEH1PBE,TD APFD,TD CAM-B3LYP,TD wB97XD
Li,676.51,623.68,624.6,627.3,636.06,716.95
Na,622.24,548.19,583.12,584.68,552.54,645.28
K,866.7,713.14,767.14,777.89,727.62,816.15
Rb,897.38,731.4,777.06,802.01,742.02,NaN
Cu,379.7,1008.49,779.21,797.86,978.2,1041.62
B,-6.443386966166e10,NaN,NaN,-498297.06,1.39073589e6,-71941.69
P,1926.75,74224.24,68251.68,69566.01,83100.24,70198.87
Ca,393.19,554.99,543.43,544.19,532.76,544.33
Sr,435.47,502.12,512.13,512.57,483.5,477.0
